Year,Round,W_Region,W_Seed,W_Team,W_Score,L_Region,L_Seed,L_Team,L_Score,OT
2001,First Round (Round of 64),2,13,Indiana State,70,2,4,Oklahoma,68,0
2001,First Round (Round of 64),2,11,Temple,79,2,6,Texas,65,0
2001,First Round (Round of 64),2,3,Florida,69,2,14,Western Kentucky,56,0
2001,First Round (Round of 64),2,7,Penn State,69,2,10,Providence,59,0
2001,First Round (Round of 64),2,2,North Carolina,70,2,15,Princeton,48,0
2001,First Round (Round of 64),4,1,Stanford,88,4,16,UNC Greensboro,60,0
2001,First Round (Round of 64),4,9,Saint Joseph's,66,4,8,Georgia Tech,62,0
2001,First Round (Round of 64),4,5,Cincinnati,84,4,12,BYU,59,0
2001,First Round (Round of 64),4,13,Kent State,77,4,4,Indiana,73,0
2001,First Round (Round of 64),4,11,Georgia State,50,4,6,Wisconsin,49,0
2001,First Round (Round of 64),4,3,Maryland,83,4,14,George Mason,80,0
2001,First Round (Round of 64),4,10,Georgetown,63,4,7,Arkansas,61,0
2001,First Round (Round of 64),4,15,Hampton,58,4,2,Iowa State,57,0
2001,Second Round (Round of 32),3,1,Duke,94,3,9,Missouri,81,0
2001,Second Round (Round of 32),3,4,UCLA,75,3,12,Utah State,50,0
2001,Second Round (Round of 32),3,6,Southern California,74,3,3,Boston College,71,0
2001,Second Round (Round of 32),3,2,Kentucky,92,3,7,Iowa,79,0
2001,Second Round (Round of 32),1,1,Illinois,79,1,9,Charlotte,61,0
2001,Second Round (Round of 32),1,4,Kansas,87,1,5,Syracuse,58,0
2001,Second Round (Round of 32),1,3,Ole Miss,59,1,6,Notre Dame,56,0
2001,Second Round (Round of 32),1,2,Arizona,73,1,10,Butler,52,0
2001,Second Round (Round of 32),2,1,Michigan State,81,2,9,Fresno State,65,0
2001,Second Round (Round of 32),2,12,Gonzaga,85,2,13,Indiana State,68,0
2001,Second Round (Round of 32),2,11,Temple,75,2,3,Florida,54,0
2001,Second Round (Round of 32),2,7,Penn State,82,2,2,North Carolina,74,0
2001,Second Round (Round of 32),4,1,Stanford,90,4,9,Saint Joseph's,83,0
2001,Second Round (Round of 32),4,5,Cincinnati,66,4,13,Kent State,43,0
2001,Second Round (Round of 32),4,3,Maryland,79,4,11,Georgia State,60,0
2001,Second Round (Round of 32),4,10,Georgetown,76,4,15,Hampton,57,0
2001,Sweet 16,3,1,Duke,76,3,4,UCLA,63,0
2001,Sweet 16,3,6,Southern California,80,3,2,Kentucky,76,0
2001,Sweet 16,1,1,Illinois,80,1,4,Kansas,64,0
2001,Sweet 16,1,2,Arizona,66,1,3,Ole Miss,56,0
2001,Sweet 16,2,1,Michigan State,77,2,12,Gonzaga,62,0
2001,Sweet 16,2,11,Temple,84,2,7,Penn State,72,0
2001,Sweet 16,4,1,Stanford,78,4,5,Cincinnati,65,0
2001,Sweet 16,4,3,Maryland,76,4,10,Georgetown,66,0
2001,Elite Eight,3,1,Duke,79,3,6,Southern California,69,0
2001,Elite Eight,1,2,Arizona,87,1,1,Illinois,81,0
2001,Elite Eight,2,1,Michigan State,69,2,11,Temple,62,0
2001,Elite Eight,4,3,Maryland,87,4,1,Stanford,73,0
2001,Final Four,3,1,Duke,95,4,3,Maryland,84,0
2001,Final Four,1,2,Arizona,80,2,1,Michigan State,61,0
2001,National Championship,3,1,Duke,82,1,2,Arizona,72,0
2002,First Round (Round of 64),3,1,Maryland,85,3,16,Siena,70,0
2002,First Round (Round of 64),3,8,Wisconsin,80,3,9,St. John's,70,0
2002,First Round (Round of 64),3,12,Tulsa,71,3,5,Marquette,69,0
2002,First Round (Round of 64),3,4,Kentucky,83,3,13,Valparaiso,68,0
2002,First Round (Round of 64),3,11,Southern Illinois,76,3,6,Texas Tech,68,0
2002,First Round (Round of 64),3,3,Georgia,85,3,14,Murray State,68,0
2002,First Round (Round of 64),3,7,N.C. State,69,3,10,Michigan State,58,0
2002,First Round (Round of 64),3,2,UConn,78,3,15,Hampton,67,0
2002,First Round (Round of 64),4,1,Kansas,70,4,16,Holy Cross,59,0
2002,First Round (Round of 64),4,8,Stanford,84,4,9,Western Kentucky,68,0
2002,First Round (Round of 64),4,12,Creighton,83,4,5,Florida,82,0
2002,First Round (Round of 64),4,4,Illinois,93,4,13,San Diego State,64,0
2002,First Round (Round of 64),4,6,Texas,70,4,11,Boston College,57,0
2002,First Round (Round of 64),4,3,Mississippi State,70,4,14,McNeese State,58,0
2002,First Round (Round of 64),4,7,Wake Forest,83,4,10,Pepperdine,74,0
2002,First Round (Round of 64),4,2,Oregon,81,4,15,Montana,62,0
2002,First Round (Round of 64),1,1,Duke,84,1,16,Winthrop,37,0
2002,First Round (Round of 64),1,8,Notre Dame,82,1,9,Charlotte,63,0
2002,First Round (Round of 64),1,5,Indiana,75,1,12,Utah,56,0
2002,First Round (Round of 64),1,13,UNC Wilmington,93,1,4,Southern California,89,0
2002,First Round (Round of 64),1,6,California,82,1,11,Penn,75,0
2002,First Round (Round of 64),1,3,Pittsburgh,71,1,14,Central Connecticut State,54,0
2002,First Round (Round of 64),1,10,Kent State,69,1,7,Oklahoma State,61,0
2002,First Round (Round of 64),1,2,Alabama,86,1,15,Florida Atlantic,78,0
2002,First Round (Round of 64),2,1,Cincinnati,90,2,16,Boston University,52,0
2002,First Round (Round of 64),2,8,UCLA,80,2,9,Ole Miss,58,0
2002,First Round (Round of 64),2,12,Missouri,93,2,5,Miami (FL),80,0
2002,First Round (Round of 64),2,4,Ohio State,69,2,13,Davidson,64,0
2002,First Round (Round of 64),2,11,Wyoming,73,2,6,Gonzaga,66,0
2002,First Round (Round of 64),2,3,Arizona,86,2,14,UC Santa Barbara,81,0
2002,First Round (Round of 64),2,7,Xavier,70,2,10,Hawaii,58,0
2002,First Round (Round of 64),2,2,Oklahoma,71,2,15,Illinois-Chicago,63,0
2002,Second Round (Round of 32),3,1,Maryland,87,3,8,Wisconsin,57,0
2002,Second Round (Round of 32),3,4,Kentucky,87,3,12,Tulsa,82,0
2002,Second Round (Round of 32),3,11,Southern Illinois,77,3,3,Georgia,75,0
2002,Second Round (Round of 32),3,2,UConn,77,3,7,N.C. State,74,0
2002,Second Round (Round of 32),4,1,Kansas,86,4,8,Stanford,63,0
2002,Second Round (Round of 32),4,4,Illinois,72,4,12,Creighton,60,0
2002,Second Round (Round of 32),4,6,Texas,68,4,3,Mississippi State,64,0
2002,Second Round (Round of 32),4,2,Oregon,92,4,7,Wake Forest,87,0
2002,Second Round (Round of 32),1,1,Duke,84,1,8,Notre Dame,77,0
2002,Second Round (Round of 32),1,5,Indiana,76,1,13,UNC Wilmington,67,0
2002,Second Round (Round of 32),1,3,Pittsburgh,63,1,6,California,50,0
2002,Second Round (Round of 32),1,10,Kent State,71,1,2,Alabama,58,0
2002,Second Round (Round of 32),2,8,UCLA,105,2,1,Cincinnati,101,0
2002,Second Round (Round of 32),2,12,Missouri,83,2,4,Ohio State,67,0
2002,Second Round (Round of 32),2,3,Arizona,68,2,11,Wyoming,60,0
2002,Second Round (Round of 32),2,2,Oklahoma,78,2,7,Xavier,65,0
2002,Sweet 16,3,1,Maryland,78,3,4,Kentucky,68,0
2002,Sweet 16,3,2,UConn,71,3,11,Southern Illinois,59,0
2002,Sweet 16,4,1,Kansas,73,4,4,Illinois,69,0
2002,Sweet 16,4,2,Oregon,72,4,6,Texas,70,0
2002,Sweet 16,1,5,Indiana,74,1,1,Duke,73,0
2002,Sweet 16,1,10,Kent State,78,1,3,Pittsburgh,73,0
2002,Sweet 16,2,12,Missouri,82,2,8,UCLA,73,0
2002,Sweet 16,2,2,Oklahoma,88,2,3,Arizona,67,0
2002,Elite Eight,3,1,Maryland,90,3,2,UConn,82,0
2002,Elite Eight,4,1,Kansas,104,4,2,Oregon,86,0
2002,Elite Eight,1,5,Indiana,81,1,10,Kent State,69,0
2002,Elite Eight,2,2,Oklahoma,81,2,12,Missouri,75,0
2002,Final Four,3,1,Maryland,97,4,1,Kansas,88,0
2002,Final Four,1,5,Indiana,73,2,2,Oklahoma,64,0
2002,National Championship,3,1,Maryland,64,1,5,Indiana,52,0
2003,First Round (Round of 64),4,1,Oklahoma,71,4,16,South Carolina State,54,0
2003,First Round (Round of 64),4,8,California,76,4,9,N.C. State,74,0
2003,First Round (Round of 64),4,12,Butler,47,4,5,Mississippi State,46,0
2003,First Round (Round of 64),4,4,Louisville,86,4,13,Austin Peay,64,0
2003,First Round (Round of 64),4,6,Oklahoma State,77,4,11,Penn,63,0
2003,First Round (Round of 64),4,3,Syracuse,76,4,14,Manhattan,65,0
2003,First Round (Round of 64),4,10,Auburn,65,4,7,Saint Joseph's,63,0
2003,First Round (Round of 64),4,2,Wake Forest,76,4,15,East Tennessee State,73,0
2003,First Round (Round of 64),1,1,Kentucky,95,1,16,IUPUI,64,0
2003,First Round (Round of 64),1,9,Utah,60,1,8,Oregon,58,0
2003,First Round (Round of 64),1,5,Wisconsin,81,1,12,Weber State,74,0
