Year,Team,Date,Opp_name,opp_rk,opp_conf,opp_adjoe,opp_oe_rank,opp_adjde,opp_de_rank,opp_barthag,opp_barthag_rank,opp_sos,opp_nconf_sos,opp_conf_sos,opp_proj_sos,opp_proj_nconf_sos,opp_proj_conf_sos,opp_elite_sos,opp_elite_nconf_sos,opp_opp_oe,opp_opp_de,opp_proj_opp_oe,opp_proj_opp_de,opp_conf_adj_oe,opp_conf_adj_de,opp_qual_o,opp_qual_d,opp_qual_barthag,opp_qual_games,opp_fun,opp_conf_pf,opp_conf_pa,opp_conf_poss,opp_conf_oe,opp_conf_de,opp_conf_win%,opp_wab,opp_wab_rk,opp_fun_rk,opp_adjt,opp_qual_games_ratio
2015,new-mexico-state,2014-11-14,wichita-state,16,MVC,113.77196594044213,23,91.2131027201472,17,0.9269985216390221,16,0.5633876169059849,0.6286446700518127,0.5192219552500705,0.5935666125494796,0.6286446700518127,0.5192219552500705,0.7813423738334457,0.7794239779405024,102.79520815547714,99.5163581443989,104.24371124572599,99.3221347655591,113.97625621581061,90.90966522720227,122.6251771196921,97.06397513529555,0.9363305513387078,4,0.022125947059006945,1221.0,953.0,1079.1,1.1314984709480123,0.8831433602075804,0.9444444444444444,4.3384635034820285,17,122,62.35104421405221,0.12903225806451613
2015,new-mexico-state,2014-11-18,saint-marys-ca,53,WCC,110.68482595954433,49,97.03434652302825,80,0.8196015305648124,53,0.6102918651403753,0.5503529757910808,0.6402744123070482,0.6154613853737307,0.5503529757910808,0.6402744123070482,0.785239809279629,0.8352697096850937,105.83285140790157,100.6633860366868,106.00667563123055,100.64785275595365,112.24069343635975,95.89392702163175,105.8518332246656,95.39287900486991,0.767887027755454,5,0.005872174370160965,1223.0,1120.0,1113.1000000000001,1.0987332674512622,1.0061989039619081,0.7222222222222222,-0.6947961701076368,57,154,63.22542081655396,0.1724137931034483
2015,new-mexico-state,2014-11-19,northern-colorado,256,BSky,107.33047153583972,79,115.6548739806781,345,0.29754282183322245,256,0.3713948873402106,0.46553892845740147,0.32076376303730614,0.3713948873402106,0.46553892845740147,0.32076376303730614,0.8995589635742665,0.8269574815486758,100.23220874555622,106.3876561881937,100.23220874555622,106.3876561881937,106.75748977241346,115.2403341283456,92.97647079781409,87.46890004631872,0.6686811873590385,1,0.0007312352730954874,1357.0,1354.0,1191.6999999999998,1.1387094067298817,1.136191994629521,0.5555555555555556,-10.715362115399868,224,167,63.71698429772119,0.03571428571428571
2015,new-mexico-state,2014-11-22,texas-el-paso,95,CUSA,105.10004569718053,110,97.74670102649765,95,0.6972280218434574,95,0.47371977455014136,0.5563666719106163,0.42703693344553806,0.48352828057608555,0.5563666719106163,0.42703693344553806,0.8562443496248788,0.7879465133559864,101.78069830594742,102.79783838058337,102.15874769961995,102.75618631321177,105.32079713770729,98.8054842450904,119.38622695859652,103.73196205692442,0.8342933352187238,3,0.004098564958423534,1239.0,1131.0,1164.8,1.0637019230769231,0.9709821428571429,0.7222222222222222,-3.6461395196979356,96,157,65.0711649633169,0.09375
2015,new-mexico-state,2014-11-24,stetson,333,ASun,94.27223576717893,309,114.21052364971467,339,0.09918149852487462,333,0.3692292920863504,0.40704657005466227,0.317625373271979,0.3692292920863504,0.40704657005466227,0.317625373271979,0.895300516586946,0.8593085417028052,99.73785306751692,106.54320931808239,99.73785306751692,106.54320931808239,94.09435753326646,114.65215528811993,84.40730033446357,103.50002043280071,0.08745954882514202,1,-0.04104615411984183,937.0,1073.0,951.3999999999999,0.984864410342653,1.1278116459953753,0.21428571428571427,-17.744748839027565,331,264,66.47353267387756,0.03571428571428571
2015,new-mexico-state,2014-11-26,florida-am,350,MEAC,83.40862030639536,350,116.03612296054959,346,0.021951502947882034,350,0.31754165591917977,0.4441705113688235,0.21465571086634416,0.31754165591917977,0.4441705113688235,0.21465571086634416,0.9122226568140227,0.8531293528366196,97.36186717390902,105.93076428420878,97.36186717390902,105.93076428420878,84.76339340324148,117.04451071417786,74.57658548615025,112.25627376179123,0.008986408374501001,1,-0.02369211632812586,934.0,1136.0,1051.7,0.888085956071123,1.0801559380051344,0.125,-23.179197459927625,351,222,66.51811630015638,0.034482758620689655
2015,new-mexico-state,2014-11-29,wyoming,119,MWC,102.05176285371076,173,97.4941597519742,91,0.6284115598632354,119,0.5082243974299608,0.3628693422370976,0.5526001192269494,0.5208051184319276,0.3628693422370976,0.5526001192269494,0.8187014054316477,0.8902505814346383,101.1406201857224,101.5904685132927,101.54631937122802,101.30703929378457,100.56497116897096,99.84828987115193,103.20760096839696,95.91078077404993,0.6991444814158506,6,0.13168345664110248,1089.0,1080.0,1099.6,0.9903601309567116,0.982175336485995,0.6111111111111112,-1.4589134884633888,67,7,59.17486968139449,0.1875
2015,new-mexico-state,2014-12-03,new-mexico,134,MWC,99.42102354485388,232,96.71048632049445,72,0.5788075564457862,134,0.5472704824364594,0.4746563963934291,0.605196845012042,0.5472704824364594,0.4746563963934291,0.605196845012042,0.8203899137242452,0.8590307800580228,102.68966347915543,101.22064161570405,102.68966347915543,101.22064161570405,100.45845882349103,98.2996146152247,98.66103553452005,99.57207579189154,0.47359852696675314,5,-0.03265738814950769,1086.0,1098.0,1102.0,0.985480943738657,0.9963702359346642,0.3888888888888889,-8.18565791758151,174,238,62.96638207285393,0.16129032258064516
2015,new-mexico-state,2014-12-06,texas-el-paso,95,CUSA,105.10004569718053,110,97.74670102649765,95,0.6972280218434574,95,0.47371977455014136,0.5563666719106163,0.42703693344553806,0.48352828057608555,0.5563666719106163,0.42703693344553806,0.8562443496248788,0.7879465133559864,101.78069830594742,102.79783838058337,102.15874769961995,102.75618631321177,105.32079713770729,98.8054842450904,119.38622695859652,103.73196205692442,0.8342933352187238,3,0.004098564958423534,1239.0,1131.0,1164.8,1.0637019230769231,0.9709821428571429,0.7222222222222222,-3.6461395196979356,96,157,65.0711649633169,0.09375
2015,new-mexico-state,2014-12-13,oral-roberts,205,Sum,102.84446407993552,155,106.57660480788849,252,0.39892850851986833,205,0.44715825202081916,0.5656094856587343,0.3680389302176683,0.45771405657534076,0.5656094856587343,0.3680389302176683,0.8707503849072822,0.7977030871115605,100.16922413168462,102.07741331278774,100.47617846655253,102.0006514085946,103.96750464256063,108.391918790573,96.74896004075488,109.16873738001588,0.19958114814055067,1,0.07350443002608259,1137.0,1122.0,1062.3999999999999,1.070218373493976,1.0560993975903616,0.625,-8.290246624069166,176,37,65.45056779012701,0.03333333333333333
