Team,Year,player_win1,player_Min_per,player_ORtg,player_Usage,player_eFG,player_TS_per,player_ORB_per,player_DRB_per,player_AST_per,player_TO_per,player_dunksmade,player_dunksatt,player_rimmade,player_rimatt,player_midmade,player_midatt,player_twoPM,player_twoPA,player_TPM,player_TPA,player_FTM,player_FTA,player_bpm_rd,player_Obpm,player_Dbpm,player_bpm_net,player_pts,player_ORB,player_DRB,player_AST,player_TOV,player_STL,player_BLK,player_stl_per,player_blk_per,player_PF,player_possessions,player_bpm,player_sbpm,player_inches,player_cls,player_Min,player_gp,player_Min_total,player_rimmade_pct,player_midmade_pct,player_dunksmade_pct,player_twoPM_pct,player_TPM_pct,player_FTM_pct,player_AST_TOV_ratio,player_ORtg_per40min,player_Usage_per40min,player_eFG_per40min,player_TS_per_per40min,player_ORB_per_per40min,player_DRB_per_per40min,player_AST_per_per40min,player_TO_per_per40min,player_dunksmade_per40min,player_dunksatt_per40min,player_rimmade_per40min,player_rimatt_per40min,player_midmade_per40min,player_midatt_per40min,player_twoPM_per40min,player_twoPA_per40min,player_TPM_per40min,player_TPA_per40min,player_FTM_per40min,player_FTA_per40min,player_bpm_rd_per40min,player_Obpm_per40min,player_Dbpm_per40min,player_bpm_net_per40min,player_pts_per40min,player_ORB_per40min,player_DRB_per40min,player_AST_per40min,player_TOV_per40min,player_STL_per40min,player_BLK_per40min,player_stl_per_per40min,player_blk_per_per40min,player_PF_per40min,player_possessions_per40min,player_bpm_per40min,player_sbpm_per40min
eastern-michigan,2015,0.5485714285714286,26.057142857142857,94.79009523809525,22.951238095238097,44.43361904761905,48.32476190476191,4.254571428571429,10.86247619047619,13.646571428571429,17.817333333333334,0.3028571428571428,0.3542857142857143,1.8066666666666666,3.1533333333333333,0.7933333333333333,2.334285714285714,2.6,5.487619047619047,1.0523809523809524,3.1038095238095242,2.5885714285714285,3.6019047619047613,0.4301904761904762,-0.14779009116675076,0.5749216685240587,0.9740952380952382,10.945714285714285,0.9238095238095237,2.46,1.6104761904761904,1.661904761904762,1.1095238095238096,0.4990476190476191,2.4223809523809523,2.0005714285714284,1.7771428571428571,67.3207619047619,0.4271315773573079,0.9749829122485639,76.6,3.0,10.422857142857143,28.2,296.88,0.5705972413726283,0.33221873363151894,0.5204301073654423,0.4693230733741262,0.3195521752762601,0.6932022822658547,0.9700814812575788,13.53663272095444,3.3381656919050364,6.408206418321647,6.909122274417041,0.6909649748030882,1.7271092445520893,1.8190759478120753,2.943837145053874,0.04020539279525418,0.049836523294063635,0.24473942737671214,0.43804407954369295,0.11265474132967146,0.3265314785674187,0.35739416870638363,0.7645755581111116,0.13029232573438257,0.3899126879942977,0.32384955621814676,0.45762664756391824,-0.1471854326133764,-0.20538065200407768,0.0578836744975461,0.08370352754996704,1.4295148708340617,0.13625981613193133,0.35398567131244996,0.20857837579173677,0.24110058421060385,0.1513269570198627,0.07313446057443398,0.34705349765729104,0.30997863617285415,0.2521575606018678,10.078456265550315,-0.14749697750653154,0.08380310634783057
purdue,2015,0.634090909090909,25.961931818181817,108.05973484848487,19.37151515151515,50.25310606060606,53.53799242424242,6.415132575757577,13.667840909090907,16.845965909090907,17.72882575757576,0.2609848484848485,0.2854166666666667,1.752840909090909,2.484090909090909,0.8617424242424242,2.4136363636363636,2.5964015151515154,4.879545454545456,0.5990530303030303,1.8702651515151516,2.0986742424242424,2.912878787878788,4.095208333333334,1.8101389927827363,2.283950235432955,0.8460037878787882,9.088636363636365,1.3996212121212122,3.0895833333333336,2.033901515151515,1.5543560606060605,0.6446969696969698,0.7660984848484849,1.4467045454545455,3.2455681818181814,2.3225378787878785,65.50685606060605,4.094089228215692,0.8450356767110205,78.4,2.4,10.384772727272725,32.8,340.56000000000006,0.7124653024287257,0.3344095354473948,0.7151515147318255,0.5029033925152584,0.26327007874265085,0.728936555808437,1.44124670945458,12.943274756714974,2.308262943083091,6.01760106414297,6.387750093831709,0.7437142560228832,1.654216927385313,1.9750047926134293,2.111724983060977,0.031134176518615046,0.034143594001716744,0.1977562707361345,0.2784216637433605,0.1014375792094429,0.2839774101242957,0.2970836224181483,0.5604022007348071,0.07570099592252805,0.23625387772973797,0.23700459539008928,0.32992657826674365,0.46896420665813565,0.19509685535072246,0.27377320324120347,0.09320460156985547,1.0582748279939698,0.16046674509844464,0.3653570423569624,0.23413551456491316,0.1805277841903926,0.075097691885853,0.09374254268633671,0.17252305901549533,0.3981682103537996,0.274615844089631,7.893156130650937,0.468870058591926,0.09312357601131112
northwestern-state,2015,0.5598290598290598,25.133618233618233,109.14293447293446,20.025099715099714,51.41501424501424,55.18957264957265,4.408433048433048,10.528034188034187,14.707777777777778,15.900313390313391,0.1925925925925926,0.2,1.837037037037037,3.1566951566951564,1.0988603988603989,2.5182336182336185,2.935897435897436,5.682336182336182,1.2173789173789173,3.08974358974359,2.5324786324786324,3.142165242165242,-0.73977207977208,1.637587497760633,-2.3810020968369336,0.9547578347578349,12.056410256410256,0.9558404558404557,2.4529914529914527,2.419088319088319,1.4541310541310541,1.04985754985755,0.3575498575498576,2.14982905982906,1.2226495726495727,2.1327635327635326,74.4391737891738,-0.7434145990763004,0.957435553541071,73.8,2.2,10.053447293447292,26.8,269.84000000000003,0.5463877505994972,0.36116061003059186,0.391999999709264,0.4820211389850332,0.369312422333511,0.7517244495902987,1.3333097135985574,16.971935562559842,3.0040935709697036,8.108770749848091,8.664582919420692,0.7362659940014366,1.658565918737395,2.0377507559860946,2.6961779000527404,0.023478016123484435,0.024328464735127075,0.25006080111478707,0.4366709756562875,0.14488685010758004,0.34814210556131125,0.394947651222367,0.7863467059396292,0.1688099746146629,0.4345421837340361,0.32030934151725593,0.4062206239105013,-0.32953062509739783,0.07434229876979231,-0.4045613449995103,0.04491668978894327,1.6166345678059788,0.14929914618755374,0.3541335498296978,0.3156401711141803,0.21222756040515417,0.15057436170673727,0.051216709852899334,0.33547606345859543,0.18603427807503128,0.33547670044812267,11.946103249747216,-0.33021904622971804,0.04521820994900459
texas-am-corpus-christi,2015,0.5715270935960591,27.839326765188833,101.76065353037765,21.299604269293923,50.29316091954023,54.08228078817734,5.632609195402298,13.86929064039409,12.763152709359607,18.505013136288994,0.16022988505747124,0.19402298850574712,1.5757307060755337,2.6362561576354677,1.2282430213464697,3.071165845648604,2.797307060755336,5.694088669950739,0.6910673234811167,1.7661576354679802,2.812791461412151,4.160262725779967,-0.1963711001642036,-0.2201259016368753,0.020574821550316556,0.5747307060755337,10.480607553366173,1.2283579638752051,3.082873563218391,1.6007881773399018,1.8257307060755337,0.8212807881773398,0.42298850574712643,2.0162692939244664,2.1986896551724135,2.450049261083744,63.89674876847291,-0.1995510800865584,0.5718739132203627,75.2,3.0,11.135730706075531,29.4,327.52,0.5870476189963026,0.3774098184265322,0.604166666210816,0.47808135867797735,0.3160386402404761,0.7221658283190593,0.8188217356516032,12.930101076271328,2.623963923912362,6.4222905684626195,6.890536597043708,0.7369539438994517,1.7901656395682022,1.4410542788721656,2.385586207612761,0.017069716464911004,0.02168644127133088,0.19211707861986035,0.321732323917547,0.13758346728420778,0.3498320140597467,0.328717189598583,0.6696764136030614,0.0877972511791159,0.22056959977512883,0.3266526567829503,0.4796296639675187,-0.039567231875965295,-0.050598903441377296,0.010461012129460434,0.05803434516718825,1.247478789517464,0.15653689468827367,0.38545273564542376,0.1719007237274744,0.2188691041324708,0.09604837629394768,0.05610158117526972,0.25712747750216364,0.3087974883221384,0.3111673498154918,8.14401866892576,-0.04013789131191681,0.057613460858798884
south-dakota,2015,0.4838709677419355,28.45806451612903,103.74193548387098,20.235483870967744,47.65419354838709,51.18387096774193,4.55483870967742,13.916774193548388,13.569032258064516,15.720645161290324,0.0,0.0064516129032258064,1.2516129032258063,2.303225806451613,1.1161290322580644,3.1161290322580646,2.3612903225806448,5.412903225806451,1.1290322580645162,3.070967741935484,2.1548387096774198,2.8322580645161293,-0.4890322580645158,-0.05880186992642518,-0.43441001246266014,0.4348387096774193,10.264516129032257,1.1290322580645162,3.1612903225806455,1.87741935483871,1.535483870967742,0.8516129032258064,0.18064516129032257,2.0535483870967743,0.8503225806451613,2.2064516129032254,67.26774193548388,-0.49321188238908514,0.43300982903364443,74.0,3.4,11.383225806451613,31.0,352.88,0.5375289922639738,0.38814749165465323,0.0,0.4518193863321095,0.343202741486758,0.7376209385437604,1.2839455206703696,12.015940515904727,2.374610532086878,5.52556747387335,5.911239006843727,0.5725752301463564,1.6816102251169405,1.5652594698179394,1.8681555834645889,0.0,0.0005940711697261335,0.14806392203213714,0.26692938814396294,0.12558100275463055,0.35273098533836117,0.2729818607679367,0.6189973094634931,0.12391726220023333,0.34345345707479363,0.2278948502606549,0.30451662606883567,-0.08040111465249603,-0.049281000264800603,-0.03161063549119037,0.040511853390800226,1.1456103583972284,0.13376535581181903,0.3634470385045896,0.210132412118619,0.1742296903144926,0.10589938405919445,0.023592195941781503,0.26465402318181064,0.11757305400321494,0.2669675440695028,7.891948615403305,-0.08089163575599097,0.04028612980117586
campbell,2015,0.24694960212201594,25.945358090185675,99.08132625994692,19.450769230769232,47.94498673740053,49.2674801061008,5.476419098143237,14.712493368700265,15.219363395225463,18.640928381962866,0.20053050397877983,0.21432360742705572,1.4713527851458887,2.416180371352785,0.34827586206896555,1.2448275862068965,1.875596816976127,3.845092838196286,1.124137931034483,3.036339522546419,1.3801061007957558,2.2350132625994696,-2.692679045092838,-1.4906805339062825,-1.1996217998029377,0.2686737400530504,8.50371352785146,1.1819628647214855,2.7846153846153845,1.6652519893899203,1.4164456233421752,0.823342175066313,0.40132625994694954,1.8654907161803713,1.7640318302387268,2.103713527851459,62.851140583554375,-2.6903023337092207,0.26914062460069366,76.4,2.8,10.37814323607427,28.4,294.08000000000004,0.612769514235102,0.2357191406455835,0.7555555543165433,0.47170022957711166,0.328411107874607,0.6773794402926286,1.3623913042182827,13.904896869979037,2.703466813091855,6.591809346004849,6.765407874854391,0.7796191491328146,2.09190171657461,2.22864041656212,2.88887126083323,0.026506192569297305,0.028295181343392744,0.19878190029057388,0.3286018358725378,0.04404285397318117,0.16425939717704746,0.25070918682998544,0.5187107899609563,0.13639372357495871,0.3798427778396138,0.1836612804870288,0.2967512813203285,-0.5069182457288595,-0.324138407426685,-0.18255112632955167,0.007050745881122272,1.094260824871876,0.15912070763660963,0.37242973319761913,0.2365179072938559,0.19979093043330715,0.11375696522429116,0.05350223005199475,0.26774379209470445,0.23565199292559508,0.28503459448998975,9.094567744676553,-0.5066895337562366,0.007156510078515204
southern-methodist,2015,0.816589861751152,26.887864823348696,109.80970814132104,19.92377880184332,53.462980030721965,56.18089093701997,7.501751152073732,14.189554531490014,16.716958525345625,19.527004608294934,0.5262672811059907,0.5874039938556067,1.8740399385560675,2.901075268817204,1.0629800307219663,2.544393241167435,2.937019969278034,5.439016897081413,0.5999999999999999,1.409216589861751,2.2423963133640554,3.2337941628264204,4.617603686635944,2.5667858835003075,2.0504422754878107,1.2131182795698927,9.916436251920123,1.3956989247311828,3.119815668202765,2.337941628264209,1.5984639016897082,0.9536098310291858,0.47772657450076805,2.27778801843318,2.763041474654378,1.9738863287250386,63.16958525345622,4.617228158988118,1.2101384797892545,77.4,3.2,10.755145929339479,29.0,315.2,0.6186806935994018,0.3914498686657568,0.6772713030625168,0.5379004402010643,0.26709732984907386,0.7094668203490191,1.4918160094437312,14.956616912044183,2.832140604683483,7.328779775243243,7.66004884635403,1.1860421642252639,2.1089386701695387,2.126180152251431,2.5984464609319025,0.0795735020210734,0.08818555428344513,0.28512032117643954,0.4374211542833145,0.1480613878960512,0.35023426104263916,0.43318170907249076,0.7867917455932596,0.061755352323314264,0.1472609950072225,0.3108761322483457,0.45960157630732024,0.6974427165348704,0.3785119683102783,0.31884576443637264,0.18877264089603152,1.36250560736327,0.21687650022260385,0.4479884760629515,0.2790318737493428,0.20908717297150298,0.13521592968447327,0.07572897778580359,0.3372877814401062,0.43897901435673603,0.27018395366221926,8.601670768947614,0.6973577327466509,0.1883779710892237
penn-state,2015,0.5297794117647059,28.38676470588235,96.81003676470588,21.326911764705883,46.12794117647059,49.21764705882352,4.233970588235293,13.363161764705882,12.865808823529411,17.651470588235295,0.1764705882352941,0.18823529411764706,1.3297794117647057,2.2761029411764704,1.2375000000000003,3.319852941176471,2.567279411764706,5.601838235294117,1.178676470588235,3.4709558823529414,1.9775735294117645,2.7404411764705876,1.881727941176471,0.4922728649436456,1.3870613464126234,0.38025735294117646,10.648161764705883,1.051470588235294,3.2639705882352943,1.6577205882352941,1.7261029411764706,0.9121323529411764,0.2621323529411764,1.953014705882353,0.9269117647058824,2.3062499999999995,66.78988970588236,1.8793342113562688,0.3783708521580336,76.2,2.8,11.354705882352942,33.6,381.76000000000005,0.5700848511132706,0.3535739803649991,0.561111110930188,0.4468187624970299,0.31284431508739063,0.6715019870673139,0.9400671811892088,10.283224576299201,2.232131556116872,4.9081555233768555,5.23309973746754,0.4683042110503621,1.4587993513642352,1.2967443051352103,1.923045457721464,0.01847695859868598,0.01965559104845348,0.13528972034617323,0.23149686810291742,0.1228072285985122,0.33505749279022945,0.25809694894468543,0.5670208440764282,0.11947892579773951,0.3551489437495574,0.19483823623364804,0.2726074230639436,0.1584644748888819,0.00779075214539075,0.15044425748131213,0.018384233520197295,1.0694689115162375,0.11431573797937404,0.3499175077969335,0.16502258463605476,0.17913307980935056,0.09506663823654134,0.02896085835533474,0.208800947509165,0.10363326155580255,0.25033635025965034,7.173390222637299,0.15823500962670284,0.018169593291677714
tennessee-tech,2015,0.3476190476190476,24.62169312169312,101.54312169312169,20.233121693121692,49.26616402116402,53.08433862433861,6.482460317460317,13.389232804232808,11.756746031746033,20.04,0.294973544973545,0.31666666666666665,1.6587301587301588,2.808994708994709,1.1825396825396826,2.704232804232804,2.834126984126984,5.5060846560846555,0.6798941798941799,2.0108465608465607,1.9322751322751324,2.746825396825397,-0.9556878306878305,-0.11799313249903462,-0.8409560349632708,0.3308465608465609,9.640211640211641,1.5047619047619047,2.7394179894179893,1.4222222222222223,1.646031746031746,0.7970899470899471,0.4529100529100528,2.0587566137566133,2.2280952380952384,2.2222222222222223,67.47867724867726,-0.9589491674623053,0.3309945225731915,77.2,3.0,9.84867724867725,27.6,271.76000000000005,0.5891228706968606,0.4405156399263637,0.5648745517610937,0.5190867879487614,0.25844129411400285,0.7337642403558207,0.9052715120521683,15.450911351636046,2.999040702149477,7.487193830286659,8.090716820087176,0.9201378936777754,1.9462741837347264,1.8970686747357344,3.1268680910883875,0.04126676400692558,0.044459336516144185,0.2305103603087077,0.38876343624539056,0.1647828003260442,0.37361166673884566,0.3943715016485768,0.7614534439980611,0.10335542173649803,0.3061570562537298,0.2790774906198748,0.39212622281765824,-0.16835756669433122,-0.04698381416281487,-0.12182528627064419,0.04804688691569183,1.3778867591265225,0.20861471581130403,0.38634539038425786,0.22086163515802637,0.24151906960134992,0.11904838559397428,0.06345541652990207,0.32209580700659507,0.32413120395424067,0.32699871065206576,10.308235888594247,-0.16880910043345906,0.04805740304376888
charlotte,2015,0.4375,27.775,102.850625,20.366875,48.37375,52.055625000000006,5.343749999999999,13.854999999999999,14.976875000000001,18.708750000000002,0.375,0.39375,1.7,2.7375,1.21875,3.25625,2.91875,5.99375,0.7625,2.125,2.1875,3.1125,0.529375,0.7992685059636602,-0.27190500354368247,0.5731250000000003,10.3125,1.275,3.275,2.25625,1.80625,0.9875,0.36875,1.983125,1.4012499999999999,2.08125,69.36874999999998,0.5273635024199775,0.5715803724550399,77.4,2.8,11.110000000000001,32.0,355.52000000000004,0.6051604597982967,0.36842642106204826,0.7773333329691591,0.4746920156040891,0.28464933429492506,0.7057101224404148,1.1764202136296724,11.597774412119985,2.3018329716053736,5.476449655990474,5.884662907012394,0.6123938486582061,1.5776095053691066,1.6358102379393649,2.114700731799468,0.043535006097565124,0.04570306829852207,0.19303333835867337,0.3097149937035901,0.13910903313311007,0.3708253370976752,0.3321423714917834,0.6805403308012652,0.085243972502447,0.23605661652424242,0.24526118317467657,0.35128561384416895,0.03944388017353841,0.08105776232510267,-0.041836222038114004,0.055204918969854175,1.1652778436655846,0.14556557631670625,0.37111798777868454,0.24478556161220796,0.20273269313805273,0.10659585020611295,0.04119559717493902,0.21503660075221473,0.1574843854892241,0.23537547306747753,7.842200539974849,0.03922154028698864,0.05502937348849083
