rk,conf,adjoe,oe_rank,adjde,de_rank,barthag,barthag_rank,sos,nconf_sos,conf_sos,proj_sos,proj_nconf_sos,proj_conf_sos,elite_sos,elite_nconf_sos,opp_oe,opp_de,proj_opp_oe,proj_opp_de,conf_adj_oe,conf_adj_de,qual_o,qual_d,qual_barthag,qual_games,fun,conf_pf,conf_pa,conf_poss,conf_oe,conf_de,conf_win%,wab,wab_rk,fun_rk,adjt,Year,Team,qual_games_ratio
1,ACC,115.3406193453381,29,85.19621776410374,1,0.9702211348612589,1,0.7167106782569376,0.5564646907357497,0.7943456374462328,0.7077391332174839,0.5564646907357497,0.7943456374462328,0.6996333828210476,0.8160501868153959,110.25576954294549,99.79043599921826,109.99229329079988,99.92871196695437,113.648188833499,84.73014520834265,119.12825550260476,85.40357965519759,0.9786964070724905,12,0.07366965677923853,1154.0,955.0,1072.3375,1.0761537295860677,0.8905778264772051,0.9444444444444444,11.409753528803822,1,36,60.017400663730676,2018,virginia,0.36363636363636365
2,BE,127.55339619925454,1,95.77441520785354,34,0.9642639158075699,2,0.738125438472896,0.5982680799646376,0.8217652508874633,0.7528953842509247,0.5982680799646379,0.8217652508874633,0.6593161540925889,0.7876191223200637,110.79056333350874,99.54940056979626,111.17574271596318,98.9170005837272,128.9835568521048,98.62546334095978,139.98509158309525,104.3964639634653,0.966863163155992,14,0.035694786629439146,1584.0,1374.0,1299.4375000000002,1.2189889856187772,1.0573805973738635,0.7777777777777778,10.758472963934903,2,89,69.08851273652851,2018,villanova,0.4117647058823529
3,ACC,121.89891051272323,5,92.64283783806115,6,0.9591470436835322,3,0.7172627235245326,0.6046662379967592,0.7801125083769456,0.7236412504803121,0.6046662379967592,0.7801125083769456,0.6769145399293526,0.7683790508501571,109.90118382739502,99.26107485467202,110.09790493732793,99.16078624475368,119.56830771242447,91.01029192617666,121.03292183268535,97.39835049369634,0.924030498847212,12,-0.036519819629587724,1421.0,1219.0,1251.95,1.1350293542074363,0.9736810575502216,0.7222222222222222,6.789711438372616,9,260,70.91636391393413,2018,duke,0.36363636363636365
4,B10,123.74857353893293,2,95.7407911260184,32,0.9503100411515832,4,0.6887966056956827,0.5387986823463262,0.7788209087309996,0.695125076421406,0.5387986823463262,0.7788209087309996,0.69697212780849,0.7870823075537078,108.45439436151187,99.4677750576632,108.62297909245031,99.26267771353746,125.30006138032667,95.1234697778371,131.44129457569707,100.16349148314107,0.9579203509871431,12,0.009091514848536209,1379.0,1193.0,1180.6875,1.1679635805409985,1.0104282462548304,0.8333333333333334,7.779538462123333,6,146,68.4904052026461,2018,purdue,0.35294117647058826
5,Amer,111.2474445787955,59,86.41188076971969,2,0.9481061123627149,5,0.5742332703262106,0.46094635184394683,0.6308556376809524,0.5848249458220516,0.46094635184394683,0.6308556376809524,0.7766652428236598,0.8061444640135716,106.20407286579088,102.89076345271741,106.58646914089888,102.81528178151699,113.04542815301187,86.43944193241241,110.5221460057621,92.30128132585475,0.8881334903775796,8,0.02168124521335657,1294.0,997.0,1147.6125,1.127558300384494,0.8687601433410668,0.8888888888888888,6.071278176460198,11,124,66.08219655028277,2018,cincinnati,0.23529411764705882
6,B12,122.01451054618201,4,96.0580167551903,40,0.939950483733775,6,0.767643573924296,0.6115227910453154,0.8601877359329952,0.7804781937877545,0.6115227910453154,0.8601877359329952,0.6282761968598854,0.7999646789474624,111.46976306748513,98.58540985518961,112.07300486182535,98.19763523238493,121.65666278649675,99.91928524803708,123.90416155159213,98.86410593612075,0.9306207862354631,17,0.049231319520033456,1396.0,1351.0,1240.7875000000001,1.125091927505717,1.0888246375789568,0.7222222222222222,8.342371074641784,4,68,69.39202438526934,2018,kansas,0.5
7,B10,119.17375262534365,10,94.24971270417146,17,0.9369262383237751,7,0.6504394121442882,0.445189397956483,0.7776909257893604,0.6556473124851564,0.445189397956483,0.7776909257893604,0.7335727937375504,0.8392128093579182,108.38564640869241,101.10644761023077,108.28073353976053,100.86763452417448,120.5832937012557,94.88220543247812,128.75468738862358,106.32315887802113,0.9003748863356442,8,0.07534544300543278,1377.0,1191.0,1197.9375,1.1494756612928472,0.9942087963687588,0.8888888888888888,8.102917592494718,5,33,67.78550127876959,2018,michigan-state,0.24242424242424243
8,B12,120.4687329792439,9,95.49700154135151,26,0.9353176000901215,8,0.7086130628125736,0.4525865023989899,0.8607197460269226,0.71475459526661,0.4525865023989899,0.8607197460269226,0.6503759129215638,0.8269560734369714,109.15951481663299,98.65816464905683,109.67224152403777,98.74976787049707,121.99612021710487,95.40124740621009,131.3342073633436,103.42518869768261,0.9397613901541797,18,-0.02640370573396511,1400.0,1293.0,1243.925,1.12546978314609,1.0394517354342103,0.6111111111111112,4.7371148925962085,14,239,70.75398829810831,2018,west-virginia,0.5294117647058824
9,ACC,122.27901583101706,3,97.47864960605219,53,0.9312933827204467,9,0.7657072416556236,0.6687426702620629,0.8050569110138518,0.762095066985576,0.6687426702620629,0.8050569110138518,0.613871203590051,0.6922088549990009,111.55187668786127,97.59914286700653,111.32326577895654,97.63619509632984,123.36050865689907,101.01744916292495,124.34167476614252,97.87478142018006,0.9400520981550097,20,0.037044629777389204,1452.0,1360.0,1254.45,1.157479373430587,1.0841404599625333,0.6111111111111112,7.271073633991818,7,85,72.02931103619937,2018,north-carolina,0.5714285714285714
10,B10,115.18667143300883,30,92.23843055553618,5,0.9279112158813064,10,0.6800433934099552,0.4508809561500286,0.7936498903991089,0.6887776355585451,0.41619780567694925,0.7936498903991089,0.6694948887485574,0.8373157313152635,110.43505964390539,101.21750935046555,108.31781727043749,98.0642767777645,116.84835742083588,93.56021690856991,125.01581584466226,95.46586122253686,0.9569431556028061,13,0.06252039480759586,1280.0,1181.0,1162.875,1.1007201977856604,1.0155863699881758,0.7222222222222222,7.028548335380897,8,49,65.2932662526309,2018,michigan,0.38235294117647056
11,SEC,114.61204396459232,36,91.89642866396696,4,0.9269153142900807,11,0.7601046339034185,0.652820391866885,0.8139018043076701,0.7563652529388709,0.652820391866885,0.8139018043076701,0.6622024677624233,0.7074142602644019,111.78034745907681,99.40128514435217,111.3786330194136,99.2567205853489,115.21553287020467,94.24044788794062,125.42853480561004,102.8669090053178,0.9072450628251171,16,0.040247333874038005,1310.0,1220.0,1206.075,1.08616794146301,1.0115457164770019,0.7222222222222222,6.567810483188093,10,80,66.92940678055116,2018,tennessee,0.48484848484848486
12,WCC,118.19981330061269,13,94.84264242214884,22,0.9263419586188467,12,0.5320768347278312,0.5717907324696349,0.5017751277481791,0.5560425289401818,0.5717907324696349,0.5017751277481791,0.7896163575043501,0.7245359456785033,106.03279486276973,104.15432890759718,106.48546920248002,103.52450188669008,117.89934441222407,94.24094231077227,145.2099980424137,111.28979198812895,0.9551908721158686,7,0.04098438299526985,1456.0,1128.0,1211.0249999999999,1.2022873185937533,0.9314423731962594,0.9444444444444444,4.968901402946383,12,79,69.90442638416503,2018,gonzaga,0.20588235294117646
13,BE,121.10069109059881,7,97.81781319542685,62,0.9209576352586769,13,0.7269817741747032,0.5764443808800583,0.8267452431605015,0.7173019106816169,0.5764443808800583,0.8267452431605015,0.6959466826400231,0.8230435894052767,109.95665203993325,99.04484099877867,109.9166101506772,99.44891066563908,120.1568860987865,98.16620777112017,134.68646007629314,106.36743777938555,0.937881266458075,11,0.11666745674320256,1491.0,1415.0,1322.4624999999999,1.127442176999348,1.069973628741836,0.8333333333333334,8.936272657334737,3,4,71.18355283548804,2018,xavier,0.3333333333333333
14,B12,113.33621599814381,45,91.71357661300962,3,0.9194143220931436,14,0.6979819630582467,0.43931767527999177,0.8625410001420745,0.7169735416981787,0.43931767527999177,0.8625410001420745,0.6491395965621838,0.864269913024291,109.96619578528635,99.96898178008624,110.80110683424559,99.5194471700008,113.71077097511281,92.40058569599258,120.46859740640427,99.1384386767176,0.9038736869667621,14,0.016707140065071124,1297.0,1233.0,1220.8625,1.062363697795616,1.0099417420061638,0.6111111111111112,4.828433608035569,13,136,67.16231027092867,2018,texas-tech,0.42424242424242425
15,B10,115.862774938746,24,93.99910489407893,14,0.9171997690124084,15,0.6864558086031468,0.5372612867922134,0.7828007274183908,0.696754066931528,0.5372612867922134,0.7828007274183908,0.7005506634759397,0.8030698358573443,109.31161213610626,100.02679946460493,109.6953667275047,99.89599568995035,119.2598218905816,93.57685799677414,141.6727534543632,125.07822963141382,0.8073178259798538,11,0.009121825268420647,1335.0,1168.0,1181.4875,1.1299315481543395,0.9885843058009501,0.8333333333333334,4.648009701134617,15,145,67.38722089366236,2018,ohio-state,0.34375
16,SEC,115.89213340890126,23,94.10768676647585,15,0.9164093630160624,16,0.7329122743812806,0.6012290173799647,0.8208644587884852,0.739065369238423,0.6012290173799647,0.8208644587884852,0.6639313760348284,0.7335631585420228,110.0252834690634,98.94729437918767,110.13602116406435,98.76992549858335,116.53079555686395,92.87775118210523,129.0932999322635,100.03834763542035,0.9494197972250049,13,-0.07681950752773858,1277.0,1196.0,1188.8124999999998,1.0741811681825353,1.0060459492140268,0.6111111111111112,1.5657728447473214,35,324,67.84184071773271,2018,florida,0.40625
17,Amer,115.54562698612358,25,94.36944467060098,19,0.9111820317420621,17,0.568495002086627,0.4636487979960955,0.596931528761304,0.5866678055415601,0.4636487979960955,0.596931528761304,0.7668853097437426,0.8526300855664172,105.78879341310223,102.2948225436714,106.2075080230281,101.8222765151259,115.77222969262509,94.02989584306097,115.60522003796109,96.16267838862929,0.8926027977912292,7,-0.010126265352445207,1365.0,1156.0,1210.6625000000001,1.1274818539436051,0.9548491012152436,0.7777777777777778,2.5448384781465228,26,199,68.96337680158757,2018,houston,0.21212121212121213
